Id,latitude,longitude,Street Address,Suburb,Post Code
831,-33.6952971,151.2885078,"50 BOLWARRA ROAD, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
832,-33.74346619,151.210496,"19 KENS ROAD, FRENCHS FOREST NSW 2086",FRENCHS FOREST,2086
833,-33.80248789,151.2897785,"59 DARLEY ROAD, MANLY NSW 2095",MANLY,2095
834,-33.65523255,151.3182086,"2 FOAMCREST AVENUE, NEWPORT NSW 2106",NEWPORT,2106
835,-33.7338151,151.2244361,"19 EDGEWOOD PLACE, BELROSE NSW 2085",BELROSE,2085
836,-33.7940187,151.2417227,"86 PEACOCK STREET, SEAFORTH NSW 2092",SEAFORTH,2092
837,-33.79691576,151.2847654,"57 SYDNEY ROAD, MANLY NSW 2095",MANLY,2095
838,-33.79725858,151.275911,"19 WOODS PARADE, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
839,-33.6734614,151.3013228,"50 PARK STREET, MONA VALE NSW 2103",MONA VALE,2103
840,-33.79254367,151.2781886,"25 FRANCIS STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
841,-33.72461762,151.2158765,"9 HARST PLACE, BELROSE NSW 2085",BELROSE,2085
842,-33.7862056,151.2836319,"16 ILUKA AVENUE, MANLY NSW 2095",MANLY,2095
843,-33.80134937,151.2880628,"56 DARLEY ROAD, MANLY NSW 2095",MANLY,2095
844,-33.60423321,151.2985499,"20 COASTERS RETREAT, COASTERS RETREAT NSW 2108",COASTERS RETREAT,2108
845,-33.78924239,151.2846805,"280 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
846,-33.77056334,151.2643086,"65 SMITH AVENUE, ALLAMBIE HEIGHTS NSW 2100",ALLAMBIE HEIGHTS,2100
847,-33.79864322,151.2825017,"WEST ESPLANADE, MANLY NSW 2095",MANLY,2095
848,-33.77391735,151.2906164,"2 WYADRA AVENUE, CURL CURL NSW 2096",CURL CURL,2096
849,-33.79644854,151.287127,"9-15 CENTRAL AVENUE, MANLY NSW 2095",MANLY,2095
850,-33.76857577,151.270184,"23 WILLIAM STREET, NORTH MANLY NSW 2100",NORTH MANLY,2100
851,-33.77983269,151.2861755,"36B UNDERCLIFF ROAD, FRESHWATER NSW 2096",FRESHWATER,2096
852,-33.63205024,151.3167945,"29 HILLTOP ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
853,-33.73263766,151.2662022,"7 BADCOE ROAD, CROMER NSW 2099",CROMER,2099
854,-33.80096905,151.2918925,"111 BOWER STREET, MANLY NSW 2095",MANLY,2095
855,-33.7627277,151.2983279,"16 PITT ROAD, NORTH CURL CURL NSW 2099",NORTH CURL CURL,2099
856,-33.79755699,151.2669178,"13 KING AVENUE, BALGOWLAH NSW 2093",BALGOWLAH,2093
857,-33.65090766,151.3110184,"39 RAYMOND ROAD, BILGOLA PLATEAU NSW 2107",BILGOLA PLATEAU,2107
858,-33.80283995,151.288592,"71 ADDISON ROAD, MANLY NSW 2095",MANLY,2095
859,-33.75552795,151.2637085,"98 BEACON HILL ROAD, BEACON HILL NSW 2100",BEACON HILL,2100
860,-33.76192574,151.2672581,"10 BROOKVALE AVENUE, BROOKVALE NSW 2100",BROOKVALE,2100
861,-33.62218815,151.3366191,"4 ALEXANDER ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
862,-33.79363857,151.2844818,"25 KANGAROO STREET, MANLY NSW 2095",MANLY,2095
863,-33.62323204,151.3170517,"107 PARADISE AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
864,-33.79579568,151.2816499,"81 SYDNEY ROAD, MANLY NSW 2095",MANLY,2095
865,-33.6527877,151.3198702,"27 OCEAN AVENUE, NEWPORT NSW 2106",NEWPORT,2106
866,-33.71750241,151.298455,"42 OCEAN STREET, NARRABEEN NSW 2101",NARRABEEN,2101
867,-33.77095555,151.2735067,"109 WYADRA AVENUE, NORTH MANLY NSW 2100",NORTH MANLY,2100
868,-33.79571343,151.2858498,"7 RAGLAN STREET, MANLY NSW 2095",MANLY,2095
869,-33.79187394,151.2846301,"16 SMITH STREET, MANLY NSW 2095",MANLY,2095
870,-33.77895948,151.2822307,"74-76 LAWRENCE STREET, FRESHWATER NSW 2096",FRESHWATER,2096
871,-33.74574357,151.2884819,"6 GRAFTON CRESCENT, DEE WHY NSW 2099",DEE WHY,2099
872,-33.79317668,151.2824909,"3 AUGUSTA ROAD, MANLY NSW 2095",MANLY,2095
873,-33.79848422,151.2499816,"22 MAGARRA PLACE, SEAFORTH NSW 2092",SEAFORTH,2092
874,-33.78408237,151.2881105,"20 BRIDGE ROAD, QUEENSCLIFF NSW 2096",QUEENSCLIFF,2096
875,-33.76970332,151.280125,"84 BRIGHTON STREET, FRESHWATER NSW 2096",FRESHWATER,2096
876,-33.74921877,151.2918683,"15 CLARENCE AVENUE, DEE WHY NSW 2099",DEE WHY,2099
877,-33.77671505,151.2838398,"36 OLIVER STREET, FRESHWATER NSW 2096",FRESHWATER,2096
878,-33.64745766,151.3215065,"60 HILLSIDE ROAD, NEWPORT NSW 2106",NEWPORT,2106
879,-33.79548756,151.2809787,"14 BIRKLEY ROAD, MANLY NSW 2095",MANLY,2095
880,-33.79508739,151.2845244,"50 RAGLAN STREET, MANLY NSW 2095",MANLY,2095
881,-33.73596215,151.2123481,"7 CASTLE CRESCENT, BELROSE NSW 2085",BELROSE,2085
882,-33.79602864,151.2705033,"1 KRUI STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
883,-33.62294777,151.3368015,"28 WHALE BEACH ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
884,-33.79707631,151.2647388,"17 WHITE STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
885,-33.79758101,151.2848785,"3 BELGRAVE STREET, MANLY NSW 2095",MANLY,2095
886,-33.67214322,151.3118332,"5 BELLEVARDE PARADE, MONA VALE NSW 2103",MONA VALE,2103
887,-33.69573799,151.2904135,"121 GARDEN STREET, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
888,-33.79770588,151.276667,"25 MARGARET STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
889,-33.78767909,151.2734875,"18 KENNETH ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
890,-33.79742474,151.2653839,"3A WHITE STREET, BALGOWLAH NSW 2093",BALGOWLAH,2093
891,-33.7976448,151.2841711,"1 WEST PROMENADE, MANLY NSW 2095",MANLY,2095
892,-33.6295007,151.3235097,"11A RIVIERA AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
893,-33.75591613,151.2919972,"91 PACIFIC PARADE, DEE WHY NSW 2099",DEE WHY,2099
894,-33.79927713,151.2860182,"5 WENTWORTH STREET, MANLY NSW 2095",MANLY,2095
895,-33.75096559,151.2932916,"19-23 RICHMOND AVENUE, DEE WHY NSW 2099",DEE WHY,2099
896,-33.79471388,151.258351,"447-449 SYDNEY ROAD, BALGOWLAH NSW 2093",BALGOWLAH,2093
897,-33.66234786,151.3070012,"2 REDNAL STREET, MONA VALE NSW 2103",MONA VALE,2103
898,-33.7866399,151.281764,"268 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
899,-33.79519657,151.2855805,"10 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
900,-33.73984719,151.2732027,"97 CARAWA ROAD, CROMER NSW 2099",CROMER,2099
901,-33.75257138,151.2788003,"65 REDMAN ROAD, DEE WHY NSW 2099",DEE WHY,2099
902,-33.68003726,151.2217807,"1 ANGORRA ROAD, TERREY HILLS NSW 2084",TERREY HILLS,2084
903,-33.77834553,151.2833326,"6 OLIVER STREET, FRESHWATER NSW 2096",FRESHWATER,2096
904,-33.76809753,151.2944248,"67 ADAMS STREET, CURL CURL NSW 2096",CURL CURL,2096
905,-33.7482453,151.2180515,"6 JONATHON PLACE, FRENCHS FOREST NSW 2086",FRENCHS FOREST,2086
906,-33.75401872,151.2949575,"93-95 HOWARD AVENUE, DEE WHY NSW 2099",DEE WHY,2099
907,-33.77430887,151.2867003,"8 WYUNA AVENUE, FRESHWATER NSW 2096",FRESHWATER,2096
908,-33.70550443,151.2873856,"134 RICKARD ROAD, NORTH NARRABEEN NSW 2101",NORTH NARRABEEN,2101
909,-33.60661729,151.2980208,"38 COASTERS RETREAT, COASTERS RETREAT NSW 2108",COASTERS RETREAT,2108
910,-33.8002676,151.2760182,"1 LAUDERDALE AVENUE, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
911,-33.78562688,151.2672442,"234 CONDAMINE STREET, MANLY VALE NSW 2093",MANLY VALE,2093
912,-33.77997111,151.2935717,"145 EVANS STREET, FRESHWATER NSW 2096",FRESHWATER,2096
913,-33.74245615,151.3002723,"30 LANCASTER CRESCENT, COLLAROY NSW 2097",COLLAROY,2097
914,-33.79729476,151.2739987,"47-49 FAIRLIGHT STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
915,-33.80173361,151.2938704,"83-85 BOWER STREET, MANLY NSW 2095",MANLY,2095
916,-33.78654843,151.2874728,"140-142 NORTH STEYNE, MANLY NSW 2095",MANLY,2095
917,-33.79056285,151.2493317,"15 WORROBIL STREET, NORTH BALGOWLAH NSW 2093",NORTH BALGOWLAH,2093
918,-33.74680368,151.2256755,"6 WAREHAM CRESCENT, FRENCHS FOREST NSW 2086",FRENCHS FOREST,2086
919,-33.63108316,151.3263184,"55 PARK AVENUE, AVALON BEACH NSW 2107",AVALON BEACH,2107
920,-33.75457702,151.2522319,"26 GOVERNMENT ROAD, BEACON HILL NSW 2100",BEACON HILL,2100
921,-33.70328238,151.2722873,"56 KOORANGI AVENUE, ELANORA HEIGHTS NSW 2101",ELANORA HEIGHTS,2101
922,-33.6385696,151.3237506,"36 PALMGROVE ROAD, AVALON BEACH NSW 2107",AVALON BEACH,2107
923,-33.79596342,151.2786159,"125 SYDNEY ROAD, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
924,-33.78010269,151.280451,"31 PALOMAR PARADE, FRESHWATER NSW 2096",FRESHWATER,2096
925,-33.79350762,151.2860435,"9 STEINTON STREET, MANLY NSW 2095",MANLY,2095
926,-33.80015113,151.2867546,"5-7 VICTORIA PARADE, MANLY NSW 2095",MANLY,2095
927,-33.65106786,151.3163836,"62 GRANDVIEW DRIVE, NEWPORT NSW 2106",NEWPORT,2106
928,-33.79734519,151.2868546,"5 SYDNEY ROAD, MANLY NSW 2095",MANLY,2095
929,-33.79625049,151.284556,"54 SYDNEY ROAD, MANLY NSW 2095",MANLY,2095
930,-33.7999458,151.2869696,"22A DARLEY ROAD, MANLY NSW 2095",MANLY,2095
931,-33.70838682,151.3022851,"172-174 OCEAN STREET, NARRABEEN NSW 2101",NARRABEEN,2101
932,-33.76745034,151.2771011,"10 ETHEL AVENUE, BROOKVALE NSW 2100",BROOKVALE,2100
933,-33.80245914,151.2907302,"40 FAIRY BOWER ROAD, MANLY NSW 2095",MANLY,2095
934,-33.7459389,151.287007,"FISHER ROAD SCHOOL, 115 FISHER ROAD, DEE WHY NSW 2099",DEE WHY,2099
935,-33.67438247,151.3015371,"37 PARK STREET, MONA VALE NSW 2103",MONA VALE,2103
936,-33.78017,151.2933598,"145 EVANS STREET, FRESHWATER NSW 2096",FRESHWATER,2096
937,-33.79686533,151.2770792,"32 FAIRLIGHT STREET, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
938,-33.75590259,151.2933973,"109 PACIFIC PARADE, DEE WHY NSW 2099",DEE WHY,2099
939,-33.62488248,151.329572,"46 GEORGE STREET, AVALON BEACH NSW 2107",AVALON BEACH,2107
940,-33.78439608,151.2692116,"31 QUIRK ROAD, MANLY VALE NSW 2093",MANLY VALE,2093
941,-33.7864055,151.2565332,"11 KIMO STREET, NORTH BALGOWLAH NSW 2093",NORTH BALGOWLAH,2093
942,-33.80243259,151.2929815,"7 COLLEGE STREET, MANLY NSW 2095",MANLY,2095
943,-33.79558674,151.2845545,"1 PITTWATER ROAD, MANLY NSW 2095",MANLY,2095
944,-33.75838141,151.2932418,"31 WHEELER PARADE, DEE WHY NSW 2099",DEE WHY,2099
945,-33.79748651,151.2850168,"9 BELGRAVE STREET, MANLY NSW 2095",MANLY,2095
946,-33.76824419,151.2924981,"9 LALCHERE STREET, CURL CURL NSW 2096",CURL CURL,2096
947,-33.79627748,151.2827924,"7 TOWER STREET, MANLY NSW 2095",MANLY,2095
948,-33.79860686,151.278883,"24 THE CRESCENT, MANLY NSW 2095",MANLY,2095
949,-33.77286916,151.2809108,"95 WYUNA AVENUE, FRESHWATER NSW 2096",FRESHWATER,2096
950,-33.79855427,151.2843429,"54A WEST ESPLANADE, MANLY NSW 2095",MANLY,2095
951,-33.76159272,151.2656052,"28-32 BROOKVALE AVENUE, BROOKVALE NSW 2100",BROOKVALE,2100
952,-33.79608925,151.2781416,"131 SYDNEY ROAD, FAIRLIGHT NSW 2094",FAIRLIGHT,2094
